party,region,voting_system,value
Conservative,MB,IRV,0.2857142857142857
Green,MB,IRV,0.0
Liberal,MB,IRV,0.5714285714285714
NDP,MB,IRV,0.14285714285714285
Bloc,ON,IRV,0.0
Conservative,ON,IRV,0.1322314049586777
Green,ON,IRV,0.0
Liberal,ON,IRV,0.7933884297520661
NDP,ON,IRV,0.0743801652892562
Bloc,QC,IRV,0.02564102564102564
Conservative,QC,IRV,0.0641025641025641
Green,QC,IRV,0.0
Liberal,QC,IRV,0.6538461538461539
NDP,QC,IRV,0.2564102564102564
Bloc,NB,IRV,0.0
Conservative,NB,IRV,0.0
Green,NB,IRV,0.0
Liberal,NB,IRV,1.0
NDP,NB,IRV,0.0
Bloc,NS,IRV,0.0
Conservative,NS,IRV,0.0
Green,NS,IRV,0.0
Liberal,NS,IRV,1.0
NDP,NS,IRV,0.0
Bloc,PE,IRV,0.0
Conservative,PE,IRV,0.0
Green,PE,IRV,0.0
Liberal,PE,IRV,1.0
NDP,PE,IRV,0.0
Bloc,NL,IRV,0.0
Conservative,NL,IRV,0.0
Green,NL,IRV,0.0
Liberal,NL,IRV,1.0
NDP,NL,IRV,0.0
Bloc,NT,IRV,0.0
Conservative,NT,IRV,0.0
Green,NT,IRV,0.0
Liberal,NT,IRV,1.0
NDP,NT,IRV,0.0
Bloc,NU,IRV,0.0
Conservative,NU,IRV,0.0
Green,NU,IRV,0.0
Liberal,NU,IRV,1.0
NDP,NU,IRV,0.0
Bloc,YT,IRV,0.0
Conservative,YT,IRV,0.0
Green,YT,IRV,0.0
Liberal,YT,IRV,1.0
NDP,YT,IRV,0.0
Bloc,Canada,IRV,0.005917159763313609
Conservative,Canada,IRV,0.1804733727810651
Green,Canada,IRV,0.0029585798816568047
Liberal,Canada,IRV,0.6627218934911243
NDP,Canada,IRV,0.14792899408284024
Bloc,BC,DMP,0.0
Conservative,BC,DMP,0.30952380952380953
Green,BC,DMP,0.07142857142857142
Liberal,BC,DMP,0.35714285714285715
NDP,BC,DMP,0.2619047619047619
Bloc,AB,DMP,0.0
Conservative,AB,DMP,0.6470588235294118
Green,AB,DMP,0.0
Liberal,AB,DMP,0.23529411764705882
NDP,AB,DMP,0.11764705882352941
Bloc,SK,DMP,0.0
Conservative,SK,DMP,0.5
Green,SK,DMP,0.0
Liberal,SK,DMP,0.21428571428571427
NDP,SK,DMP,0.2857142857142857
Bloc,MB,DMP,0.0
Conservative,MB,DMP,0.35714285714285715
Green,MB,DMP,0.07142857142857142
Liberal,MB,DMP,0.42857142857142855
NDP,MB,DMP,0.14285714285714285
Bloc,ON,DMP,0.0
Conservative,ON,DMP,0.35833333333333334
Green,ON,DMP,0.0
Liberal,ON,DMP,0.4666666666666667
NDP,ON,DMP,0.175
Bloc,QC,DMP,0.19230769230769232
Conservative,QC,DMP,0.16666666666666666
Green,QC,DMP,0.0
Liberal,QC,DMP,0.3717948717948718
NDP,QC,DMP,0.2692307692307692
Bloc,NB,DMP,0.0
Conservative,NB,DMP,0.3
Green,NB,DMP,0.0
Liberal,NB,DMP,0.5
NDP,NB,DMP,0.2
Bloc,NS,DMP,0.0
Conservative,NS,DMP,0.16666666666666666
Green,NS,DMP,0.0
Liberal,NS,DMP,0.6666666666666666
NDP,NS,DMP,0.16666666666666666
Bloc,PE,DMP,0.0
